Plot,Plot,,
2068,3.71,10.135,-3
2061,3.72,10.105,-3
2053,3.73,10.075,-2.75
2046,3.74,10.045,-2.75
2040,3.75,10.02,-2.75
2033,3.76,9.99,-2.75
2027,3.77,9.965,-2.75
2021,3.78,9.935,-2.5
2015,3.79,9.91,-2.5
2009,3.8,9.885,-2.5
2004,3.81,9.86,-2.5
1998,3.82,9.835,-2.5
1993,3.83,9.81,-2.25
1987,3.84,9.785,-2.25
1982,3.85,9.765,-2.25
1977,3.86,9.74,-2
1972,3.87,9.72,-2
1967,3.88,9.7,-2
1962,3.89,9.68,-1.75
1957,3.9,9.66,-1.75
1953,3.91,9.645,-1.75
1948,3.92,9.625,-1.75
1944,3.93,9.61,-1.75
1940,3.94,9.59,-1.75
1936,3.95,9.575,-1.75
1932,3.96,9.555,-1.5
1929,3.97,9.54,-1.5
1925,3.98,9.525,-1.75
1922,3.99,9.51,-1.75
1918,4,9.49,-1.5
1915,4.01,9.475,-1.75
1911,4.02,9.46,-1.75
1908,4.03,9.44,-1.75
1905,4.04,9.425,-2
1902,4.05,9.405,-2
1898,4.06,9.385,-2
1895,4.07,9.365,-2
1892,4.08,9.345,-2.25
1888,4.09,9.325,-2.5
1885,4.1,9.3,-2.5
1881,4.11,9.275,-2.5
1877,4.12,9.25,-2.75
1873,4.13,9.225,-3
1869,4.14,9.195,-3
1865,4.15,9.165,-3
1860,4.16,9.135,-3
1855,4.17,9.105,-3.25
1850,4.18,9.075,-3.5
1845,4.19,9.04,-3.25
1839,4.2,9.005,-3.25
1833,4.21,8.975,-3.5
1827,4.22,8.94,-3.25
1821,4.23,8.905,-3
1815,4.24,8.875,-3
1808,4.25,8.845,-3
1801,4.26,8.815,-2.75
1795,4.27,8.785,-2.75
1788,4.28,8.76,-2.75
1781,4.29,8.73,-2.75
1775,4.3,8.705,-2.75
1769,4.31,8.675,-2.75
1763,4.32,8.65,-2.75
1757,4.33,8.62,-2.5
1752,4.34,8.595,-2.5
1746,4.35,8.57,-2.75
1741,4.36,8.545,-2.75
1735,4.37,8.515,-2.5
1730,4.38,8.49,-2.75
1724,4.39,8.465,-2.75
1719,4.4,8.435,-2.75
1714,4.41,8.41,-2.75
1709,4.42,8.38,-2.75
1703,4.43,8.355,-3
1698,4.44,8.325,-2.75
1693,4.45,8.295,-3
1687,4.46,8.27,-3.25
1682,4.47,8.235,-3
1676,4.48,8.205,-3.25
1671,4.49,8.175,-3.5
1665,4.5,8.14,-3.5
1659,4.51,8.105,-3.5
1654,4.52,8.07,-3.5
1647,4.53,8.035,-3.75
1641,4.54,8,-4
1635,4.55,7.96,-4
1628,4.56,7.92,-4.25
1621,4.57,7.88,-4.5
1614,4.58,7.835,-4.75
1607,4.59,7.79,-4.75
1600,4.6,7.74,-5
1592,4.61,7.695,-5.25
1584,4.62,7.64,-5.25
1576,4.63,7.59,-5.75
